modelName;type;maxPerturbation;size;clum_size;nlum_size;et_rel;et;|M*xt|_2;epsilon;max_deviation;norm_x0;compactum_bound;norm_fx0;max_allowed_slope;avg_per_err;avg_err;max_err;max_epsilon;consideredEpsilons;tolerance;t0;t1;secThisEpsilon;secTotal
BIOMD103_C3_[e=0.002];paper/polynomial;0.0;17;17;8;0.16726410667989572;28.07981318773946;167.8771001448484;0.001995089138664372;;0.0;0.0;0.20591260281974003;;9.35658503118899;15.172120699170456;28.07981318773946;0.0035178153732110503;13;1e-06;0.0;5000.0;0.5333209037780762;0.7202785015106201
BIOMD103_C3_[e=0.002];paper/polynomial;0.0;17;17;8;0.16726410667989572;28.07981318773946;167.8771001448484;0.001995089138664372;;0.0;0.0;0.20591260281974003;;9.35658503118899;15.172120699170456;28.07981318773946;0.0035178153732110503;13;1e-06;0.0;5000.0;0.03326821327209473;0.2160186767578125
BIOMD103_C3_[e=0.002];paper/polynomial;0.0;17;17;8;0.16726410667989572;28.07981318773946;167.8771001448484;0.001995089138664372;;0.0;0.0;0.20591260281974003;;9.35658503118899;15.172120699170456;28.07981318773946;0.0035178153732110503;13;1e-06;0.0;5000.0;0.03515362739562988;0.26462507247924805
BIOMD103_C3_[e=0.002];paper/polynomial;0.0;17;17;12;0.9248811110283027;155.26635889817703;167.8771001448484;0.0016403875397541763;;0.0;0.0;0.20591260281974003;;59.59359914733649;98.8822751138347;156.6571883814876;0.0035178153732110503;13;1e-06;0.0;5000.0;1.5319344997406006;2.0160837173461914
BIOMD103_C3_[e=0.002];paper/polynomial;0.0;17;17;12;0.9248811110283027;155.26635889817703;167.8771001448484;0.0016403875397541763;;0.0;0.0;0.20591260281974003;;59.59359914733649;98.8822751138347;156.6571883814876;0.0035178153732110503;13;1e-06;0.0;5000.0;0.03329586982727051;0.5346040725708008
BIOMD103_C3_[e=0.002];paper/polynomial;0.0;17;17;13;0.040286024374416377;6.763100948341702;167.8771001448484;0.0016025985074247604;;0.0;0.0;0.20591260281974003;;1.392915404663248;2.2605714264831978;6.763100948341702;0.0035178153732110503;13;1e-06;0.0;5000.0;0.7789468765258789;1.4845762252807617
BIOMD103_C3_[e=0.001];paper/polynomial;0.0;17;17;15;0.00493470017372479;0.8284231552491974;167.8771001448484;0.0009885267320717574;;0.0;0.0;0.20591260281974003;;0.2806098410440505;0.4603761760626263;0.8349449420399537;0.0035178153732110503;13;1e-06;0.0;5000.0;1.7737951278686523;3.170844554901123
BIOMD103_C9_[e=0.003];paper/polynomial;0.0;17;17;4;13.621314602913518;18.504277020604732;1.3584795271263155;0.003155070098363546;;0.0;0.0;0.20591260281974003;;1016.4900595061824;14.492106782653446;18.504277020604732;0.10000999950004999;18;1e-06;0.0;5000.0;0.31179165840148926;0.3560159206390381
BIOMD103_C9_[e=0.002];paper/polynomial;0.0;17;17;7;0.431784160655672;0.5865699423881503;1.3584795271263155;0.002456910693284309;;0.0;0.0;0.20591260281974003;;31.099675899566346;0.4519180289362059;0.5867257585402383;0.10000999950004999;18;1e-06;0.0;5000.0;0.6371738910675049;0.8855154514312744
BIOMD103_C9_[e=0.002];paper/polynomial;0.0;17;17;7;0.431784160655672;0.5865699423881503;1.3584795271263155;0.002456910693284309;;0.0;0.0;0.20591260281974003;;31.099675899566346;0.4519180289362059;0.5867257585402383;0.10000999950004999;18;1e-06;0.0;5000.0;0.04717063903808594;0.29689621925354004
BIOMD103_C9_[e=0.001];paper/polynomial;0.0;17;17;14;0.08395604022841638;0.114052561828897;1.3584795271263155;0.0013635091331984659;;0.0;0.0;0.20591260281974003;;5.2930553746793425;0.07969987046487007;0.16036532088799205;0.10000999950004999;18;1e-06;0.0;5000.0;2.6332595348358154;4.352890968322754
BIOMD103_C9_[e=0.001];paper/polynomial;0.0;17;17;14;0.08395604022841638;0.114052561828897;1.3584795271263155;0.0013635091331984659;;0.0;0.0;0.20591260281974003;;5.2930553746793425;0.07969987046487007;0.16036532088799205;0.10000999950004999;18;1e-06;0.0;5000.0;0.04487037658691406;1.8480825424194336
BIOMD103_C9_[e=0.001];paper/polynomial;0.0;17;17;14;0.08395604022841638;0.114052561828897;1.3584795271263155;0.0013635091331984659;;0.0;0.0;0.20591260281974003;;5.2930553746793425;0.07969987046487007;0.16036532088799205;0.10000999950004999;18;1e-06;0.0;5000.0;0.04494023323059082;1.871659278869629
